"idcasilla","entidad","estado","id_municipio","municipio","casilla","dia","Opcion1_Actual_mas_Toluca_y_StLucia","Opcion2_continuar_construccion_en_texcoco","nulos","total"
100101,1,"AGUASCALIENTES",1,"AGUASCALIENTES","AGUASCALIENTES 01",25,57,32,0,89
100102,1,"AGUASCALIENTES",1,"AGUASCALIENTES","AGUASCALIENTES 02",25,171,157,0,328
100103,1,"AGUASCALIENTES",1,"AGUASCALIENTES","AGUASCALIENTES 03",25,98,34,0,132
100104,1,"AGUASCALIENTES",1,"AGUASCALIENTES","AGUASCALIENTES 04",25,70,25,0,95
100105,1,"AGUASCALIENTES",1,"AGUASCALIENTES","AGUASCALIENTES 05",25,91,92,1,184
100106,1,"AGUASCALIENTES",1,"AGUASCALIENTES","AGUASCALIENTES 06",25,355,267,4,626
100107,1,"AGUASCALIENTES",1,"AGUASCALIENTES","AGUASCALIENTES 07",25,142,99,1,242
100108,1,"AGUASCALIENTES",1,"AGUASCALIENTES","AGUASCALIENTES 08",25,142,333,0,475
100109,1,"AGUASCALIENTES",1,"AGUASCALIENTES","AGUASCALIENTES 09",25,32,27,0,59
100110,1,"AGUASCALIENTES",1,"AGUASCALIENTES","AGUASCALIENTES 10",25,36,23,0,59
100501,1,"AGUASCALIENTES",5,"JESUS MARIA","JESUS MARIA 01",25,109,92,0,201
200101,2,"BAJA CALIFORNIA",1,"ENSENADA","ENSENADA 01",25,234,268,3,505
200102,2,"BAJA CALIFORNIA",1,"ENSENADA","ENSENADA 02",25,63,19,0,82
200103,2,"BAJA CALIFORNIA",1,"ENSENADA","ENSENADA 03",25,75,18,0,93
200104,2,"BAJA CALIFORNIA",1,"ENSENADA","ENSENADA 04",25,131,44,1,176
200105,2,"BAJA CALIFORNIA",1,"ENSENADA","ENSENADA 05",25,387,132,4,523
200106,2,"BAJA CALIFORNIA",1,"ENSENADA","ENSENADA 06",25,9,63,2,74
200201,2,"BAJA CALIFORNIA",2,"MEXICALI","MEXICALI 01",25,170,93,0,263
200202,2,"BAJA CALIFORNIA",2,"MEXICALI","MEXICALI 02",25,203,154,1,358
200203,2,"BAJA CALIFORNIA",2,"MEXICALI","MEXICALI 03",25,225,81,0,306
200204,2,"BAJA CALIFORNIA",2,"MEXICALI","MEXICALI 04",25,90,28,0,118
200205,2,"BAJA CALIFORNIA",2,"MEXICALI","MEXICALI 05",25,177,65,0,242
200206,2,"BAJA CALIFORNIA",2,"MEXICALI","MEXICALI 06",25,36,4,0,40
200207,2,"BAJA CALIFORNIA",2,"MEXICALI","MEXICALI 07",25,32,24,0,56
